"--Select--","--Seleccionar--"
"Add New Option","Adicionar nova opção"
"Add Selection","Adicionar seleção"
"As low as","As low as"
"Bundle Items","Bundle Items"
"Bundle Product","Bundle Product"
"Buy %1$s with %2$s discount each","Comprar %1$s com %2$s de desconto cada"
"Checkbox","Checkbox"
"Choose a selection...","Escolha uma seleção..."
"Close","Fechar"
"Default","Padrão"
"Default Qty","Qtd padrão"
"Default Title","Título padrão"
"Drop-down","Drop-down"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. Imposto"
"Fixed","Fixo"
"From","De"
"From:","Para:"
"Gift Message","Mensagem de presente"
"Incl. Tax","Incl. Imposto"
"Input Type","Input Type"
"Is Required","É necessário"
"Message:","Mensagem:"
"Multiple Select","Seleção múltipla"
"N/A","N/A"
"No options of this product are available.","Nenhuma opção deste produto está disponível"
"None","Nenhum"
"Percent","Percentual"
"Percent Discount","Desconto percentual"
"Please enter search conditions to view products.","Por favor especifique cada condição para ver este produto."
"Please select options for product.","Por favor selecione as opções para este produto."
"Please select products to add","Por favor selecione produtos para adicionar"
"Please specify product option(s)","Por favor especifique as opções do produto"
"Position","Posição"
"Price Range","Faixa de preço"
"Price Type","Tipo de preço"
"Price as configured","Preço configurado"
"Qty:","Qtd:"
"Radio Buttons","Botões Radio"
"Required options not selected.","Opções obrigatórias não selecionadas."
"Selected required options not available.","A opção obrigatória selecionada não está disponível."
"Separately","Separadamente"
"Ship Bundle Items","Entregar item bundle"
"Shipment","Entrega"
"Store View Title","Título da Loja"
"There is no defined renderer for ""%s"" option type","There is no defined renderer for ""%s"" option type"
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","Para"
"To:","Para:"
"Together","Juntos"
"User Defined Qty","Qtd definida pelo usuário"
