"Found %d rows","%d linhas encontradas"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Access denied to destination folder ""%s""","Acesso negado a pasta de destino ""%s"""
"Declared adapter %s not found","Adaptador declarado %s não encontrado"
"Could not load file: ""%s""","Arquivo não pode ser carregado: ""%s"""
"Could not save file: %s","Arquivo não pode ser gravado: %s"
"Loaded successfully: ""%s""","carregado com sucesso: ""%s"""
"Dry run set, stopping execution","Parando execução"
"ETA: %s","ETA: %s"
"Done","Feito"
"File ""%s"" don't exist","Arquivo ""%s"" não existe"
"Sheet 1","Folha 1"
"Saved successfully: ""%s"" [%d byte(s)]","Gravado com sucesso: ""%s"" [%d byte(s)]"
"hour","hora"
"hours","horas"
"Starting %s :: %s","Iniciando %s :: %s"
"Error field mapping! Fields list for mapping is not defined","Mapeamento de Campos de Erros! Lista de Campos para mapeamento não está definido"
"Method ""%s"" not defined in adapter %s","Método ""%s"" não definido no adaptador %s"
"Memory Used: %s","Memoria Usada: %s"
"Less than a minute","Menos de um minuto"
"minute","minuto"
"minutes","minutos"
"Error occured during file opening: ""%s""","Ocorreu erro durante abertura do arquivo: ""%s"""
"Destination folder ""%s"" is not a directory","Pasta de destino ""%s"" não é um diretório"
"Destination folder ""%s"" does not exist or not access to create","Pasta de destino ""%s"" não existe ou não tem acesso pra criar"
"Destination folder ""%s"" is not a writeable","Pasta de destino ""%s"" não tem permissão de escrita"
"Please declare ""adapter"" and ""method"" node first","Por favor declare nós de ""adaptador"" e ""método"" primeiro"
"Skip undefined row","Pular linha não definida"
"Processed records: %s","Registros Processados: %s"
"Total records: %s","Total de registros: %s"
