"Invalid alias, already exists in joined attributes","Alias inválido, já existe em atributos associados"
"Attribute '%s' used in configurable products.","Atributo '%s' usado em produtos configuráveis."
"Invalid attribute requested: %s","Atributo solicitado inválido: %s"
"Attribute used in configurable products.","Atributo usado em produtos configuráveis."
"Attribute with the same code","Atributo com o mesmo código"
"Joined field with this alias (%s) is already declared","Campo associado com este alias (%s) já foi declarado"
"Joined field or attribute expression with this alias is already declared","Campo associado ou expressão de atributo com este alias já foi declarado"
"Joined field with this alias is already declared","Campo ligado a este alias já foi declarado"
"Invalid joined fields","Campos associados inválidos"
"Invalid character encountered in increment ID: %s","Caractere inválido encontrado no ID de increment: %s"
"Loaded %d records","Carregados %d registros"
"Invalid data object key","Chave do objeto de dados inválida"
"Invalid foreign key","Chave estrangeira inválida"
"Entity collection expected","Coleção de Entidade esperada"
"Entity collections expected","Coleções de Entidades esperadas"
"Invalid entity supplied","Entidade fornecida inválida"
"Entity is not initialized","Entidade não foi inicializada"
"Invalid entity specified","Especificada Entidade Inválida"
"Invalid store specified","Especificada Loja Inválida"
"Invalid attribute specified: %s","Especificado atributo inválido: %s"
"Invalid entity_type specified: %s","Especificado entity_type inválido: %s"
"Valid store_id is expected!","Esperado store_id Válido!"
"Invalid entity supplied: %s","Fornecida Entidade Inválida: %s"
"Saved ","Gravado "
"Wrong attribute ID","ID de Atributo Errado"
"Wrong entity ID","ID de Entidade Errado"
"Wrong attribute set ID","ID errado para conjunto de atributos"
"Wrong attribute group ID","ID errado para grupo de atributos"
"Data integrity: No header row found for attribute","Integridade de Dados: Nenhuma linha de cabeçalho encontrada para atributo"
"Invalid entity_id, skipping the record","Inválido entity_id, pulando o registro"
"No","Não"
"No options root node found","Nenhum nó raiz de opções foi encontrado"
"Invalid attribute name: %s","Nome de atributo inválido: %s"
"Unknown parameter","Parâmetro Desconhecido"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar a coleção, abortando. Erro: %s"
"Problem loading a record, aborting. Error: %s","Problema ao carregar um registro, abortando. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao gravar a coleção, abortando. Erro: %s"
"Problem saving a record, aborting. Error: ","Problema ao gravar um registro, abortando. Erro: "
"Frontend label is not defined","Rótulo de Frontend não foi definido"
"Yes","Sim"
"Attempt to add an invalid object","Tentativa de acrescentar um objeto inválido"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid entity type","Tipo de entidade Inválida"
"Value of attribute ""%s"" must be unique","Valor do atributo ""%s"" deve ser único"
"Default option value is not defined","Valor Padrão de Opção não está definido"
