"%s Item(s)","%s Item(s)"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Ajude-nos a manter a qualidade do Magento"
"Welcome, %s!","Bem vindo, %s!"
"Header","Cabeçalho"
"Copyright","Copyright"
"Default Description","Descrição Padrão"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é a LOJA EXEMPLO. Quaisquer Pedidos feitos nesta loja não serão honrados ou realizados."
"Close Window","Fechar Janela"
"HTML Head","HTML Head"
"Interface Language","Idioma de Interface"
"Skip to Main Content","Ir para o Conteúdo Principal"
"Items %s to %s of %s total","Itens %s para %s do total %s"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento Commerce Demo Store","LOJA EXEMPLO Magento Commerce"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento é uma marcar registrada de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Show","Mostrar"
"Default Keywords","Palavras-chaves padrão"
"Page:","Página:"
"Previous Page","Página Anterior"
"per page","por página"
"Next Page","Próxima Página"
"Title Prefix","Prefixo do Título"
"Report All Bugs","Reportar todos Problemas"
"Default Robots","Robôs Padrões"
"Footer","Rodapé"
"Select Store","Selecionar Loja"
"Your Language","Seu Idioma"
"Title Suffix","Sufixo do Título"
"Default Title","Título Padrão"
"Welcome Text","Texto de Boas-vindas"
"You're currently on:","Você está agora em:"
