"--Please Select--","--Por Favor Selecione--"
"<label>Make Check payable to</label>: %s","<label>Fazer cheque para</label>: %s"
"<label>Make Check payable to:</label> %s","<label>Fazer cheque para:</label> %s"
"Year","Ano"
"Zero Subtotal Checkout","Fechamento de Compra de Subtotal Zero"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de Expiração: %s/%s"
"Send Check to","Enviar Cheque para"
"Send Check to:","Enviar Cheque para:"
"Make Check payable to","Fazer Cheque"
"Make Check payable to: %s","Fazer Cheque para: %s"
"Enabled","Habilitado"
"Payment Methods","Métodos de Pagamento"
"Month","Mês"
"Can not retrieve payment method instance","Não foi possível acessar instância de método de pagamento"
"Can not retrieve payment info model object.","Não foi possível acessar objeto de modelo de informações de pagamento."
"Can not retrieve payment method model object.","Não foi possível acessar objeto de modelo de método de pagamento."
"Can not configuration for payment method with code: %s","Não foi possível configurar método de pagamento com código: %s"
"Credit Card Number: %s","Número de Cartão de Crédito: %s"
"Credit Card Number: xxxx-%s","Número de Cartão de Crédito: xxxx-%s"
"Card Verification Number","Número de Verificação de Cartão"
"Credit Card Number","Número do Cartão de Crédito"
"Purchase Order Number","Número do Pedido de Compra"
"Purchase Order Number: %s","Número do Pedido de Compra: %s"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"What is this?","O que é isto?"
"Sort order","Ordenar Pedido"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","Pagamento países permitidos"
"Purchase order","Pedido de Compra"
"Check / Money order","Pedido em Cheque / Dinheiro"
"Saved CC","CC Salvo"
"New order status","Status do Novo Pedido"
"Title","Título"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
