"Payment Action","Ação de Pagamento"
"Change Shipping Address","Alterar Endereço de Envio"
"Change Payment Method","Alterar o Método de Pagamento"
"Amex","Amex"
"API Password","API Password"
"API Signature","API Signature"
"API User Name","API User Name"
"Update Shipping Method","Atualizar Método de Envio"
"Authorization","Autorização"
"Authorize and Capture","Autorizar e Capturar"
"Selected currency code (","Código de Moeda Selecionado ("
"Paypal Checkout","Fechamento de Compra via PayPal"
"Business Account","Conta de Negócio"
"PayPal Accounts","Contas Paypal"
"Expiration Date","Data de Expiração"
"Expiration Date: %s/%s","Data de Expiração: %s/%s"
"Start Date","Data de Início"
"Debug Flag","Debug Flag"
"Discover","Descobrir"
"Sorry, no quotes are available for this order at this time.","Desculpe, não há cotações disponíveis para este pedido no momento."
"Edit Shopping Cart","Editar Carrinho de Compras"
"Shipping Address","Endereço de Envio"
"Submitting order information...","Enviando informações de pedido..."
"Error in creating an invoice","Erro ao criar fatura"
"Error in refunding the payment","Erro ao restituir pagamento"
"Unknown PayPal API error: %s","Erro Desconhecido de API PayPal: %s"
"Invoice ","Fatura "
"Enabled","Habilitado"
"There has been an error processing your payment. Please try later or contact us for help.","Houve um erro de processamento do seu pagamento. Por favor tente mais tarde ou entre em contato conosco para o auxiliar."
"Invalid transaction id","Id de Transação Inváliido"
"Billing Information","Informações de Cobrança"
"Shipping Information","Informações de Envio"
"Issue Number","Número de Cadastro"
"Items in Your Shopping Cart","Itens no seu Carrinho de Compras"
"MasterCard","MasterCard"
"Shipping Method","Método de Envio"
"Payment Method","Método de Pagamento"
"N/A","N/A"
"Credit Card Number","Número de Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número de Cartão de Crédito: xxxx-%s"
"Card Verification Number","Número de Verificação de Cartão"
"Business Name","Nome de Negócio"
"Product Name","Nome do Produto"
"Name on Card","Nome no Cartão de Crédito"
"Name on the Card: %s","Nome no Cartão de Crédito: %s"
"What is this?","O que é isto?"
"There was an error connecting to the Paypal server: %s","Ocorreu um erro ao conectar ao servidor do Paypal: %s"
"Sort order","Ordenar Pedido"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","Pagamento de países possíveis"
"PayPal Direct (Website Payments Pro)","PayPal Direct (Website Payments Pro)"
"PayPal Email","PayPal Email"
"Paypal Express (Website Payments Pro)","Paypal Express (Website Payments Pro)"
"Paypal IPN Invalid.","Paypal IPN Inválido."
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"PayPal Standard (Website Payments Standard)","PayPal Standard (Website Payments Standard)"
"PayPal Uk Account","PayPal Uk Account"
"Order","Pedido"
"Please select a valid shipping method","Por favor selecione um método de envio válido"
"Please select a shipping method...","Por favor selecione um método de envio..."
"Price","Preço"
"Problem during communication with PayPal","Problema durante comunicação com PayPal"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Qtd"
"Place an Order","Realizar Pedido"
"Received IPN verification","Received IPN verification"
"Review Order","Rever Pedido"
"Sandbox Flag","Sandbox Flag"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Seu endereço de Cobrança sera ignorado e você sera redirecionado ao website PayPal UK"
"New order status","Status de Novo Pedido"
"Subtotal","Subtotal"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Switch/Solo Only","Switch/Solo Only"
"Title","Título"
"There was an error during communication with Paypal: %s - %s","Houve um erro durante a comunicação com o Paypal: %s - %s"
"Type","Tipo"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Transaction Type","Tipo de Transação"
"Credit Card Types","Tipos de Cartão de Crédito"
"Use Proxy","Usar Proxy"
"Order total amount does not match paypal gross total amount","Valor Total do Pedido não é igual ao paypal gross total amount"
"Sale","Venda"
"Visa","Visa"
"You will be redirected to paypal in a few seconds.","Você sera redirecionado para o PayPal em alguns segundos."
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
