"Add to Wishlist","Acrescentar a Lista de Desejos"
"Add to Cart","Acrescentar ao Carrinho de Compras"
"Add to Compare","Acrescentar para Comparar"
"Review","Análise"
"Product Reviews","Análise do Produto"
"Reviews","Análises"
"Customers Reviews","Análises dos Clientes"
"Products Reviews","Análises dos Produtos"
"Year","Ano"
"Last Review","Última Análise"
"Last Name","Último Nome"
"Updated at","Atualizado em"
"Shopping Cart","Carrinho de Compras"
"Carts","Carrinhos de Compras"
"Abandoned carts","Carrinhos de Compras Abandonados"
"Average rating","Classificação Média"
"Customer","Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes por Número de Pedidos"
"Customers by orders total","Clientes por Total de Pedidos"
"Customers that have wishlist: %s%","Clientes que tem Lista de Desejos: %s%"
"Bought from wishlists","Comprados da Lista de Desejos"
"Created at","Criado em"
"CSV","CSV"
"Applied Coupon","Cupom Aplicado"
"Coupons","Cupons"
"Discounts","Descontos"
"Detail","Detalhe"
"Tag Detail","Detalhe do Tag"
"Tag ""%s"" details","Detalhes de ""%s"" da Tag"
"Day","Dia"
"Email","Email"
"Submitted On","Enviado Em"
"Submitted In","Enviado Em"
"Shipping","Envio"
"Low stock","Estoque Baixo"
"Excel","Excel"
"Invoiced","Faturado"
"Hits","Hits"
"ID","ID"
"Tax","Imposto"
"Invalid data specified","Data especificada inválida"
"Items in Cart","Itens no Carrinho de Compras"
"Items Ordered","Itens Pedidos"
"Wishlists","Lista de Desejos"
"Wishlist vs. Regular Order","Lista de Desejos x Pedido Regular"
"Bestsellers","Mais Vendidos"
"Most viewed","Mais Visitados"
"Most Viewed","Mais Visitados"
"Month","Mês"
"Show for Current","Mostrar Atual"
"Number Of Reviews","Nº de Análises"
"Number of Views","Nº de Visitas"
"Number Added","Número Acrescentado"
"Number Purchased","Número Comprado"
"Number of Reviews","Número de Análises"
"Number of wishlist conversions: %s","Número de Conversões da Lista de Desejos: %s"
"Number of Items","Número de Itens"
"Number of items bought from a wishlist: %s","Número de itens comprados da Lista de Desejos: %s"
"Number of wishlists: %s","Número de Listas de Desejos: %s"
"Number of New Accounts","Número de Novas Contas"
"Number of wishlist referrals: %s","Número de referências da Lista de Desejos: %s"
"Number of Unique Tags","Número de Tags Únicas"
"Number Of Uses","Número de Usos"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a Lista de Desejos foi compartilhada (enviado por email): %s"
"Number of times deleted","Número de vezes removido"
"Number Viewed","Número de Visualizações"
"Number of Orders","Número do Pedidos"
"Number Of Historical Uses","Número Histórico de Usos"
"Number Fulfilled","Número Preenchido"
"Number of Total Tags","Número Total de Tags"
"Name","Nome"
"Customer Name","Nome do Cliente"
"Product Name","Nome do Produto"
"Tag Name","Nome do Tag"
"New Accounts","Novas Contas"
"Orders","Pedidos"
"Popularity","Popularidade"
"Price","Preço"
"First Name","Primeiro Nome"
"Products","Produtos"
"Recently Compared Products","Produtos Comparados Recentemente"
"Products in carts","Produtos no Carrinho de Compras"
"Recently Viewed Products","Produtos Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos Visualizados/Comparados Recentemente"
"Stock Qty","Qtd. em Estoque"
"Quantity of Items","Quantidade de Itens"
"Quantity Ordered","Quantidade Pedida"
"Revenue","Receita"
"Wishlist Report","Relatório de Lista de Desejos"
"Sales Report","Relatório de Vendas"
"Products Report","Relatório dos Produtos"
"Poducts Report","Relatório dos Produtos"
"Reports","Relatórios"
"Customers Report","Relatórios de Clientes"
"Refunded","Restituído"
"Offline Refunded","Restituição Offline"
"Online Refunded","Restituição Online"
"Results","Resultados"
"Reviews for %s","Opiniões para %s"
"Out of stock","Sem Estoque"
"Product Sku","SKU do Produto"
"Your Recently Compared","Suas Últimas Comparações"
"Your Recently Viewed","Suas Últimas Visualizações"
"Subtotal","Subtotal"
"Tag","Tag"
"Product Tags","Tag do Produto"
"Customer Tags","Tags do Cliente"
"Customers Tags","Tags dos Clientes"
"Products Tags","Tags dos Produtos"
"Tags submitted to %s","Tags enviadas para %s"
"Tags submited by %s","Tags enviadas por %s"
"Popular Tags","Tags Populares"
"Tax Rate","Taxa de Imposto"
"Search Terms","Termo de Busca"
"Title","Título"
"Total","Total"
"Total Shipping","Total Enviado"
"Total invoiced","Total Faturado"
"Total invoiced captured","Total Faturado Capturado"
"Total invoiced not captured","Total Faturado não Capturado"
"Total refunded","Total Restituído"
"Total Refunded","Total Restituído"
"Total Tags","Total Tags"
"Carrier/Method","Transportadora/Método"
"Tag use","Uso da Tag"
"Tax Amount","Valor de Imposto"
"Sales","Vendas"
"Guest","Visitantes"
"Visible In","Visível Em"
