"%d Review(s)","%d Opinião(ões)"
"%s Review(s)","%s Análise(s)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add to Wishlist","Acrescentar a Lista de Desejos"
"Add to Cart","Acrescentar ao Carrinho"
"Add Items to Cart","Acrescentar itens ao carrinho"
"Add New Review","Acrescentar Nova Análise"
"Add to Compare","Acrescentar para Comparar"
"Add Your Review","Acrescentar sua Análise "
"Administrator","Administrador"
"Review by %s","Analisado por <em>%s</em>"
"Review","Análise"
"Product Review (submitted on %s):","Análise do Produto (enviado em %s):"
"Customer Reviews","Análises de Clientes"
"Product Reviews","Análises do Produto"
"Pending Reviews","Análises Pendentes"
"Nickname","Apelido"
"Update status","Atualizar status"
"Detailed Rating","Classificação Detalhada"
"Product Rating","Classificação do Produto"
"Rating:","Classificação:"
"Product Rating:","Classificações do Produto:"
"Customer","Cliente"
"How do you rate this product?","Como você classifica este produto?"
"Buy %s for %s","Comprar %s para %s"
"Created On","Criado Em"
"Review Details","Detalhes da Análise"
"Availability: In stock.","Disponibilidade: Em Estoque."
"Availability: Out of stock.","Disponibilidade: Esgotado."
"Edit Review '%s'","Editar Análise '%s'"
"Submit Review","Enviar Análise"
"Write Your Own Review","Escrever sua análise"
"ID","ID"
"Unable to post review. Please, try again later.","Impossível enviar opinião. Por favor, tente mais tarde novamente."
"Average Customer Rating","Média de Avaliação de Clientes"
"Average Customer Rating:","Média de Avaliação de Clientes:"
"My Product Reviews","Minhas Opiniões de Produtos"
"My Recent Reviews","Minhas Opiniões Recentes"
"Name","Nome"
"Product Name","Nome do Produto"
"Name In Store","Nome na Loja"
"New Review","Nova Opinião"
"OR","OU"
"Please select a product","Por favor selecione um produto"
"Please select one of each of the ratings above","Por favor selecione uma das avaliações acima"
"Price","Preço"
"Product","Produto"
"Posted By","Publicado Por"
"Qty","Qtd"
"Delete","Remover"
"Delete Review","Remover Análise"
"Save Review","Salvar Opinião"
"Be the first to review this product","Seja o primeiro a comentar este produto"
"SKU","SKU"
"Product SKU","SKU do Produto"
"Status","Status"
"Your Review (submitted on %s):","Sua Análise (enviada em %s):"
"Your review has been accepted for moderation","Sua análise foi aceita pela moderação"
"Your Rating:","Sua Classificação:"
"Summary of Review","Sumário da Análise"
"Summary of review","Sumário da Análise"
"Summary of Your Review","Sumário das Suas Análises"
"Summary Rating","Sumário de Classificação"
"Title","Título"
"Type","Tipo"
"All Reviews","Todas Análises"
"View Details","Ver Detalhes"
"View All Reviews","Ver todas Análises"
"Visible In","Visível Em"
"Store Views","Visões da Loja"
"Visible Ins","Visível Em"
"Guest","Visitante"
"You're reviewing: %s","Você está revendo: <span class=""normal-weight"">%s</span>"
"You have submitted no reviews.","Você não enviou análises."
"Are you sure you want to do this?","Você tem certeza que quer fazer isto?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Product Reviews","Voltar para Análises de Produto"
"Back to Main Product Info","Voltar para Informações Principais do Produto"
"Back to My Reviews","Voltar para Minhas Análises"
"Zoom In","Aproximar"
"Zoom Out","Distanciar"
