"Open Chooser","Abrir selecionador"
"Add","Acrescentar"
"Apply","Aplicar"
"Description: %s","Descrição: %s"
"Expire at: %s","Expira em: %s"
"FALSE",FALSO
"Start at: %s","Iniciar em: %s"
"is","é"
"is not","não é"
"Name: %s","Nome: %s"
"to","para"
"by","por"
"Please choose an action to add...","Por favor escolha uma ação para adicionar..."
"Please choose a condition to add...","Por favor escolha uma condição para adicionar..."
"ANY","QUALQUER"
"Perform following actions","Realizar as seguintes ações"
"Remove","Remover"
"If %s of these conditions are %s:","Se %s destas condições são %s:"
"ALL","TODOS"
"TRUE",VERDADEIRO
