"The page you are trying to save no longer exists","A página que você está tentando gravar não existe mais "
"From Date","A partir da Data"
"Actions","Ações"
"Add New Rule","Acrescentar Nova Regra "
"Delete Rule","Apagar Regra"
"For matching items only","Apenas para itens selecionados "
"Apply","Aplicar"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho de compras que atendam as seguintes condições"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra apenas aos itens do carrinho de compras que atendam as seguintes condições (deixar em branco para todos os itens)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se as seguintes condições forem satisfeitas (deixar em branco para todos os produtos) "
"Apply to","Aplicar para"
"Active","Ativo"
"Cart Attribute","Atributo do Carrinho de Compras"
"Update product's %s %s: %s","Atualizar %s produto %s: %s"
"Update the Product","Atualizar o produto"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Shipping Postcode","Caixa Postal de Envio "
"Catalog","Catálogo"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Coupon code","Código de Cupom "
"Coupon Code","Código de Cupom"
"Product attribute combination","Combinação de Atributos de Produto "
"Conditions Combination","Combinação de Condições "
"Conditions combination","Combinações de Condições "
"Buy X get Y free (discount amount is Y)","Compre X Leve Y grátis (desconto de  Y)"
"Conditions","Condições"
"Date Expire","Data de Expiração"
"Date Start","Data de Início"
"Discount Qty Step (Buy X)","Degrau de Qtde para Desconto (Compre X)"
"Maximum Qty Discount is Applied to","Desconto Máximo de Qtde é Aplicado para "
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Free shipping","Envio Gratuito"
"This rule no longer exists","Esta regra não existe mais"
"Shipping State/Province","Estado de Envio "
"Expire at: %s","Expira em: %s"
"Fixed amount discount for whole cart","Montante de desconto fixo para todo o carrinho"
"Save Rule","Gravar Regra"
"Customer Groups","Grupos de Clientes "
"ID","ID"
"Unable to find a page to delete","Impossível encontrar página para remover "
"Inactive","Inativo"
"Rule Information","Informação de Regra"
"General Information","Informações Gerais "
"Start at: %s","Iniciar em: %s"
"Invalid discount amount.","Quantia de desconto inválida"
"Shipping Method","Método de Envio "
"Payment Method","Método de Pagamento "
"No","Não"
"NOT LOGGED IN","NÃO AUTENTICADO "
"Rule Name","Nome da Regra"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"Shipping Country","País de Envio "
"To Date","Para Data"
"For shipment with matching items","Para envio com itens selecionados "
"To Percentage","Para Porcentagem"
"To Percentage of the original price","Para Porcentagem do Preço Original "
"To Fixed Amount","Para Quantidade fixa "
"To Fixed Value","Para Valor Fixo"
"Stop further rules processing","Parar processamento de regras restantes "
"Total Weight","Peso Total"
"By Percentage","Por Porcentagem"
"By Percentage of the original price","Por porcentagem do preço original "
"By Fixed value","Por valor fixo "
"By Fixed Amount","Por valor fixo"
"Percent of product price discount","Porcentagem do desconto no preço do produto"
"Special price","Preço Especial"
"Price in cart","Preço no carrinho de compras"
"Priority","Prioridade"
"Promotions","Promoções"
"Public In RSS Feed","Público no RSS Feed"
"Quantity in cart","Quantidade no carrinho de compras"
"Total Items Quantity","Quantidade Total de Itens "
"Shipping Region","Regiões de Envio "
"Checkout Price Rule","Regra de Preço de Fechamento de Compra"
"Rule was successfully saved","Regra foi gravada com sucesso"
"Rule was successfully deleted","Regra foi removida com sucesso"
"Shopping Cart Price Rules","Regras de Preço do Carrinho de Compras "
"Shopping Cart Price Rule","Regra de Preço do Carrinho de Compras "
"Yes","Sim"
"Status","Status"
"Subtotal","Subtotal"
"Row total in cart","Total de Linhas no carrinho de compras"
"Uses per customer","Usos por cliente "
"Uses per coupon","Usos por cupom "
"Discount amount","Valor de Desconto "
"Fixed amount discount","Valor Fixo de Desconto "
