"Add Recipient","Adicionar Destinatário"
"Some emails was not sent","Alguns emails não foram enviados "
"Some problems with data.","Alguns problemas com os dados."
"Recipient:","Destinatário:"
"Email:","Email:"
"Email Address","Endereços de Email"
"Email Address:","Endereços de Email:"
"Send email","Enviar email"
"Email to a Friend","Enviar para um Amigo"
"Send product to a friend","Enviar produto para seu amigo"
"Enabled","Habilitado"
"Limit Sending By","Limitar envio por"
"Link to a friend was sent.","Link Enviado para um amigo."
"Maximum %d email addresses allowed.","Máximo de %d endereços de email permitidos."
"Max Recipients","Máximo de Destinatários"
"Max Products Sent in 1 Hour","Máximo de produtos enviados em 1 hora"
"Message:","Mensagem:"
"Email templates","Modelos de Email"
"Name","Nome"
"Name:","Nome:"
"Allow for Guests","Permitir Convidados"
"Remove Email","Remover Email"
"Select email template","Selecione um Modelo de Email"
"Sender:","Seus Dados:"
"You cannot send more than %d times in an hour","Você não pode enviar mais de %d vezes por hora"
"You cannot email this product to a friend","Você não pode enviar um email para seu amigo com este produto"
