"Add Sitemap","Adicionar Sitemap"
"Yearly","Anual"
"Path","Caminho"
"Daily","Diário"
"Edit Sitemap","Editar Sitemap"
"Error Email Recipient","Erro no Email do Destinatário"
"Error Email Template","Erro no Email do Padrão"
"Error Email Sender","Erro no Email do Remetente"
"This sitemap no longer exists","Este sitemap não existe mais"
"Frequency","Freqüência"
"Generation Settings","Opção de Geração"
"Last Time Generated","Gerado pela última vez"
"Manage Google Sitemaps","Gerenciar Google Sitemaps"
"Google Sitemap","Google Sitemap"
"Google Sitemaps","Google Sitemaps"
"Enabled","Habilitado"
"Start Time","Hora Início"
"Hourly","Horário"
"ID","ID"
"Unable to find a sitemap to delete","Impossível encontrar um sitemap para apagar "
"Link for Google","Link para Google"
"Monthly","Mensal"
"Filename","Nome do Arquivo"
"New Sitemap","Novo Sitemap"
"Never","Nunca"
"Categories Options","Opções de Categorias"
"CMS Pages Options","Opções de pág. CMS"
"Products Options","Opções de Produtos"
"Priority","Prioridade"
"Priority must be between 0 and 1","Prioridade deve ser entre 0 e 1"
"Weekly","Semanal"
"Always","Sempre"
"Sitemap was successfully deleted","Sitemap foi apagado com sucesso"
"Sitemap was successfully saved","Sitemap foi salvado com sucesso"
"Sitemap generate Warnings","Sitemap gera Alertas"
"Sitemap","Sitemaps"
"Store View","Ver Loja"
